age;mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;game_score;player
30-302;30:48:00;4;13;.308;0;3;.000;4;8;.500;1;6;7;5;3;0;3;12;8.5;1
30-304;33:56:00;13;19;.684;0;2;.000;3;5;.600;2;3;5;4;1;0;4;29;21.0;1
30-307;33:20:00;9;19;.474;0;3;.000;4;4;1.000;0;9;9;11;4;2;3;22;23.9;1
30-309;35:04:00;9;23;.391;1;5;.200;4;7;.571;2;3;5;3;4;1;3;23;15.0;1
30-311;36:20:00;12;22;.545;3;5;.600;4;6;.667;0;4;4;13;2;0;2;31;29.5;1
30-313;35:01:00;10;23;.435;0;3;.000;9;14;.643;0;6;6;4;0;0;2;29;17.5;1
30-315;37:51:00;11;19;.579;1;3;.333;8;12;.667;3;4;7;8;2;0;5;31;25.6;1
30-318;39:23:00;12;21;.571;0;2;.000;7;10;.700;0;3;3;6;2;1;3;31;23.1;1
30-319;45:03:00;13;27;.481;5;11;.455;6;12;.500;4;8;12;5;1;3;7;37;24.5;1
30-322;39:48:00;11;21;.524;4;7;.571;4;5;.800;0;6;6;3;0;0;4;30;18.0;1
30-324;34:59:00;9;13;.692;1;1;1.000;8;9;.889;3;6;9;6;0;0;4;27;24.0;1
30-326;33:20:00;8;15;.533;1;2;.500;2;2;1.000;2;9;11;8;0;2;3;19;19.4;1
30-328;34:58:00;7;14;.500;0;2;.000;1;5;.200;0;6;6;13;1;0;2;15;16.3;1
30-330;39:46:00;6;16;.375;1;5;.200;11;12;.917;2;4;6;8;0;0;2;24;20.6;1
30-332;38:13:00;8;20;.400;2;5;.400;7;9;.778;2;11;13;5;0;0;3;25;17.8;1
30-333;35:43:00;10;22;.455;1;6;.167;5;6;.833;2;7;9;5;1;0;2;26;20.2;1
30-336;37:23:00;8;20;.400;0;3;.000;8;8;1.000;4;9;13;4;1;1;9;24;13.0;1
30-339;44:47:00;13;29;.448;1;5;.200;10;11;.909;2;5;7;8;1;1;5;37;25.1;1
30-343;40:20:00;14;24;.583;1;3;.333;4;4;1.000;1;9;10;3;2;3;2;33;28.2;1
30-346;29:25:00;10;15;.667;0;1;.000;5;8;.625;0;3;3;8;4;0;4;25;23.8;1
30-350;35:42:00;10;20;.500;0;3;.000;4;4;1.000;1;6;7;3;2;1;6;24;14.1;1
30-352;39:37:00;12;27;.444;2;5;.400;7;8;.875;2;7;9;11;2;0;7;33;23.9;1
30-355;25:19:00;10;17;.588;0;3;.000;3;4;.750;0;5;5;4;3;1;2;23;20.7;1
30-358;37:43:00;9;22;.409;0;3;.000;6;7;.857;1;8;9;5;0;0;1;24;16.6;1
30-360;38:33:00;10;26;.385;1;5;.200;4;9;.444;2;7;9;2;1;2;4;25;12.1;1
30-361;26:27:00;4;13;.308;0;3;.000;4;5;.800;0;4;4;5;0;0;3;12;5.0;1
30-363;35:23:00;4;10;.400;1;5;.200;5;9;.556;0;4;4;7;2;1;2;14;12.6;1
30-364;34:23:00;13;24;.542;1;3;.333;7;8;.875;3;3;6;2;2;1;5;34;23.3;1
31-003;29:13:00;11;18;.611;4;7;.571;3;4;.750;0;5;5;3;2;0;0;29;25.2;1
31-005;30:41:00;7;11;.636;1;2;.500;5;8;.625;0;2;2;7;3;0;2;20;20.0;1
31-007;39:42:00;12;22;.545;4;9;.444;6;8;.750;0;10;10;4;1;1;2;34;26.9;1
31-009;32:14:00;5;12;.417;0;4;.000;3;4;.750;0;12;12;8;1;2;3;13;14.4;1
31-011;37:00:00;15;22;.682;3;5;.600;4;6;.667;0;7;7;9;2;0;2;37;34.8;1
31-013;41:43:00;9;17;.529;3;6;.500;6;8;.750;3;7;10;7;2;0;4;27;24.2;1
31-015;37:20:00;9;17;.529;1;3;.333;3;4;.750;2;5;7;5;0;0;4;22;14.1;1
31-016;36:23:00;7;14;.500;1;2;.500;4;6;.667;2;5;7;7;0;2;4;19;16.0;1
31-019;32:53:00;7;16;.438;0;3;.000;2;2;1.000;1;4;5;5;1;1;3;16;11.3;1
31-021;29:03:00;7;12;.583;1;1;1.000;2;4;.500;0;1;1;5;1;1;4;17;11.7;1
31-022;35:11:00;9;17;.529;1;4;.250;3;5;.600;1;4;5;12;0;0;0;22;21.6;1
31-024;39:44:00;11;27;.407;0;5;.000;4;7;.571;3;10;13;9;2;1;1;26;22.2;1
31-026;38:01:00;11;15;.733;1;1;1.000;2;3;.667;0;4;4;9;1;1;5;25;21.9;1
31-028;31:01:00;7;8;.875;0;1;.000;7;7;1.000;0;3;3;9;0;0;2;21;22.6;1
31-030;35:48:00;7;16;.438;0;2;.000;6;7;.857;1;8;9;8;1;0;1;20;18.7;1
31-031;34:09:00;10;17;.588;0;2;.000;9;11;.818;1;4;5;7;2;2;2;29;27.7;1
31-033;43:35:00;9;22;.409;0;5;.000;6;10;.600;2;10;12;6;2;1;1;24;20.1;1
31-035;39:08:00;10;21;.476;0;3;.000;3;5;.600;0;6;6;6;1;2;1;23;18.5;1
31-037;38:05:00;9;23;.391;0;5;.000;12;17;.706;3;4;7;4;2;1;6;30;17.5;1
31-038;36:42:00;11;20;.550;2;5;.400;3;3;1.000;0;3;3;8;1;0;2;27;22.1;1
31-040;30:54:00;8;16;.500;1;2;.500;4;5;.800;1;9;10;10;2;1;4;21;21.3;1
31-042;36:40:00;12;22;.545;3;6;.500;2;5;.400;1;6;7;11;1;0;1;29;27.0;1
31-050;34:37:00;11;19;.579;0;2;.000;3;3;1.000;2;7;9;9;0;1;2;25;23.4;1
31-053;37:30:00;11;22;.500;2;5;.400;1;1;1.000;3;4;7;11;3;0;5;25;21.8;1
31-054;37:30:00;5;18;.278;0;4;.000;2;2;1.000;1;7;8;5;3;0;6;12;3.9;1
31-056;30:19:00;8;13;.615;2;4;.500;5;8;.625;1;6;7;7;2;0;2;23;22.9;1
31-058;40:29:00;9;18;.500;2;4;.500;5;9;.556;1;7;8;7;1;0;6;25;16.3;1
