mp;fg;fga;fgp;three;threeatt;threep;ft;fta;ftp;orb;drb;trb;ast;stl;blk;tov;pts;player
42:00:00;14;31;.452;0;2;.000;10;11;.909;4;15;19;7;0;1;4;38;0
38:00:00;6;15;.400;0;1;.000;10;13;.769;0;3;3;6;3;0;6;22;0
39:00:00;10;20;.500;2;2;1;13;14;.929;2;1;3;7;2;0;3;35;0
46:00:00;11;19;.579;0;0;;11;12;.917;0;7;7;7;3;5;1;33;0
37:00:00;11;17;.647;1;2;.500;6;9;.667;0;8;8;8;1;2;2;29;0
40:00:00;14;24;.583;1;1;1;7;9;.778;2;6;8;12;3;0;4;36;0
36:00:00;15;18;.833;0;1;.000;3;4;.750;1;6;7;13;2;1;4;33;0
52:00:00;11;28;.393;1;1;1;6;6;1;4;5;9;9;4;2;3;29;0
44:00:00;11;20;.550;0;1;.000;6;6;1;1;4;5;13;0;2;1;28;0
48:00:00;12;23;.522;0;0;;6;8;.750;0;4;4;10;5;2;6;30;0
41:00:00;21;34;.618;0;0;;4;4;1;1;10;11;9;3;1;5;46;0
35:00:00;12;23;.522;0;0;;9;10;.900;4;9;13;6;2;0;4;33;0
43:00:00;20;30;.667;0;0;;16;18;.889;1;4;5;5;4;2;2;56;0
44:00:00;12;23;.522;0;0;;7;8;.875;1;5;6;3;1;3;2;31;0
43:00:00;12;24;.500;0;0;;3;8;.375;1;5;6;5;3;0;2;27;0
44:00:00;12;24;.500;1;3;.333;7;10;.700;1;8;9;3;3;1;6;32;0
44:00:00;12;26;.462;0;2;.000;5;6;.833;2;2;4;4;0;0;0;29;0
40:00:00;11;23;.478;0;0;;15;17;.882;2;3;5;3;1;0;4;37;0
45:00:00;9;25;.360;1;5;.200;2;4;.500;0;4;4;8;0;1;7;21;0
42:00:00;15;29;.517;0;0;;12;13;.923;3;3;6;4;2;3;5;42;0
40:00:00;15;29;.517;1;2;.500;2;2;1;1;5;6;7;2;1;1;33;0
